NPTREF,SMSREF,GMGRFE,GMGRFN,RSTNAM,MAINRD,SIDEST,NETTYP,GAZREF,NETWRF
9400ZZMABAG,MANTWGWJ,380646,388894,Baguley,SOUTHMOOR ROAD,,M,E0028505,SBR700
9400ZZMABAR,MANTWGPG,382202,392926,Barlow Moor Road,MAULDETH RD,BARLOW MOOR RD,M,E0028716,SBR685
9400ZZMABKS,MANTMTMT,378423,391192,Brooklands,BROOKLANDS RD,STATION APPROCH,M,E0028623,SJR040
9400ZZMABLL,MANTWJAT,383056,387834,Benchill,BROWNLEY RD,,M,E0028539,SBR709
9400ZZMABNR,MANTWDAP,384104,392515,Burton Road,BURTON ROAD,,M,E0029519,SBR645
9400ZZMABOB,MANTMTMW,381140,405070,Besses o'th'Barn,BURY OLD RD,THATCH LEACH LA,M,E0028543,NCR023
9400ZZMABOW,MANTMTPA,383525,403170,Bowker Vale,MIDDLETON RD,WHITE HO A,M,E0028588,NBR124
9400ZZMABUR,MANTMTPD,380431,410522,Bury,ANGOULEME WAY,,M,E0028659,NCR313
9400ZZMABWY,MANTMTPJ,380520,397606,Broadway,BROADWAY,S LANGWORTHY RD,M,N0074915,NFR484
9400ZZMACEM,MANTPWTW,389810,398136,Cemetery Road,MANCHESTER ROAD,,M,E0028353,EHR633
9400ZZMACHO,MANTPDWD,381935,394042,Chorlton,WILBRAHAM ROAD,NONE,M,E0028713,SBR500
9400ZZMACLN,MANTPWPD,388009,398467,Clayton Hall,ASHTON NEW ROAD,,M,E0028720,EBR627
9400ZZMACRN,MANTMTPM,382335,397060,Cornbrook,POMONA STRAND,,M,E0028280,SJR478
9400ZZMACRU,MANTMTPT,384113,402322,Crumpsall,STATION RD,,M,E0028802,NBR123
9400ZZMACSS,MANTWJDG,383052,387421,Crossacres,BROWNLEY RD,,M,E0029594,SBR712
